74112,40253,40252
71223,69314,77596
70773,72064,76956
65506,72940,72557
15522,15523,15521
31572,71222,31571
76709,65674,61890
40026,72104,40027
48388,73471,68179
74367,43686,43685
68157,70905,72104
46672,46671,70774
72065,70774,67982
75089,70307,65677
48474,70307,48475
78098,77535,78673
66268,26409,62823
58668,69823,68938
72171,64339,68303
17053,71223,17052
31510,71224,70652
15534,59027,59026
74583,74001,72353
41264,73689,71791
49317,72940,49318
43687,43686,73328
70587,77121,67793
74060,79136,72679
69783,71791,73689
62254,78025,69786
74600,40297,40298
79369,78717,78763
15523,15520,15521
70904,72103,40124
72063,46615,46616
79285,77449,69578
46614,46615,70772
64986,70184,71221
48464,48463,70305
72257,78707,79212
39641,69823,39640
61691,69577,71665
74108,72532,73844
15523,15524,15520
62823,26409,64008
75291,78365,67872
62223,65972,75108
75078,61759,65509
78315,72105,73961
72533,74112,74602
40455,70055,72106
40243,40242,74114
77440,78075,63908
61727,71668,69585
59028,15547,15548
49410,49409,72941
76955,70671,72033
74497,41031,41032
15538,15539,68543
62616,78297,72938
40132,40133,73960
75828,37570,37571
37545,74105,37544
56561,15546,15547
59028,15548,15549
65466,48285,72937
73802,43772,43773
15550,64010,59028
56999,68618,71222
68736,46604,71280
15543,59029,15542
72066,46667,46666
48390,70308,48391
71224,68620,75633
74998,38576,38575
46668,46667,70775
15544,59029,15543
72077,69584,70829
57001,68620,71225
71668,50401,50400
68987,59029,15545
65332,38765,70777
77535,69825,62555
68987,15546,56561
56562,15542,59029
31516,71225,31515
70777,67998,68444
56562,15541,15542
68543,15540,15541
50507,50508,71667
75418,73359,74998
75433,68984,62233
15552,15553,64453
74571,78316,74570
74582,34234,34233
59027,15537,64009
15514,15515,15513
68259,72939,74340
40229,76275,40230
15516,59031,15515
74582,74000,73999
73831,78738,70801
74060,74207,37709
42962,42961,74628
59031,15511,15513
15511,15512,15513
48530,71664,70256
40119,72102,70054
78387,68616,74243
71535,76918,68614
61888,76836,65683
76863,70770,57374
65672,70304,69673
15517,56563,59031
48525,71665,48526
15516,15517,59031
40123,40124,72103
59030,64011,66897
34641,74353,34640
41640,41641,74293
67769,73295,74353
75883,43228,43229
70699,67887,79234
74631,34647,34648
67769,73296,79005
43221,74372,74369
77763,41641,73133
72882,79116,75883
34204,74002,34205
77065,77225,73690
59030,15510,59031
15509,26461,15508
53214,58319,74294
59030,15509,15510
72964,74294,74295
26461,15509,59030
59031,15510,15511
68903,74294,58319
66897,26460,59030
74306,73006,43708
40526,40527,74674
62129,74296,72971
62824,15518,15519
43248,74370,70704
78387,71220,68616
65672,69673,75502
60780,15524,15525
50930,77642,67979
15519,15520,15524
48402,70304,48403
43029,71552,43030
15525,15526,60780
71313,69822,62543
57376,68737,70771
54850,62471,68382
76190,43301,43300
68869,55352,55378
59026,15533,15534
50835,58049,68868
71552,43029,43028
68381,54847,46052
62099,66196,68867
59026,60515,15533
77384,69344,61237
68618,77187,71221
45183,45182,67886
69158,15526,15527
66196,62655,76884
